Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40452015,10/03/2018 12:00:00 AM,09/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11210,,,,,KINGS HIGHWAY,EAST 21 STREET,INTERSECTION,BROOKLYN,,N/A,Pending,11/02/2018 12:46:06 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/03/2018 12:51:41 PM,Unspecified BROOKLYN,,BROOKLYN,997414,161925,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6111133259439,-73.95258787665999,"(40.6111133259439, -73.95258787665999)"
40455019,10/03/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11412,114-65 FARMERS BOULEVARD,FARMERS BOULEVARD,114 DRIVE,115 AVENUE,,,ADDRESS,Saint Albans,,N/A,Closed,11/02/2018 06:32:04 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,12 QUEENS,4110090004,QUEENS,1050336,193077,PHONE,Unspecified,QUEENS,,,,,,,,40.69638178294848,-73.76167665271873,"(40.69638178294848, -73.76167665271873)"
40457471,10/04/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Public Stairs,10456,1109 FRANKLIN AVENUE,FRANKLIN AVENUE,3 AVENUE,EAST 166 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/03/2018 09:54:48 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,03 BRONX,2026080019,BRONX,1010178,240892,PHONE,Unspecified,BRONX,,,,,,,,40.82783032698556,-73.90631225360411,"(40.82783032698556, -73.90631225360411)"
40458560,10/04/2018 12:00:00 AM,10/04/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,60-12 80 AVENUE,80 AVENUE,,,,,LATLONG,RIDGEWOOD,,N/A,Closed,11/03/2018 01:01:54 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/04/2018 01:05:02 PM,Unspecified QUEENS,,QUEENS,1013347,192395,MOBILE,Unspecified,QUEENS,,,,,,,,40.694708770767974,-73.89507136861549,"(40.694708770767974, -73.89507136861549)"
40463294,10/04/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468,2414 CRESTON AVENUE,CRESTON AVENUE,EAST 184 STREET,EAST 188 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/03/2018 05:48:04 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,05 BRONX,2031650022,BRONX,1012152,252944,PHONE,Unspecified,BRONX,,,,,,,,40.86090349561791,-73.89912929801893,"(40.86090349561791, -73.89912929801893)"
40466010,10/05/2018 12:00:00 AM,10/09/2018 07:15:58 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10460,1404 CROTONA PARK EAST,CROTONA PARK EAST,,,,,LATLONG,BRONX,,N/A,Closed,11/04/2018 12:25:18 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 07:15:58 PM,Unspecified BRONX,,BRONX,1012892,243260,MOBILE,Unspecified,BRONX,,,,,,,,40.834321418794865,-73.89649543555572,"(40.834321418794865, -73.89649543555572)"
40472735,10/05/2018 12:00:00 AM,09/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11213,913 ST MARK'S AVENUE,ST MARK'S AVENUE,KINGSTON AVENUE,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,11/04/2018 10:38:07 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/05/2018 10:44:11 AM,Unspecified BROOKLYN,3012230002,BROOKLYN,1000518,185107,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67473776088116,-73.94135245743239,"(40.67473776088116, -73.94135245743239)"
40478628,10/06/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11385,84-17 DORAN AVENUE,DORAN AVENUE,84 STREET,88 STREET,,,ADDRESS,Ridgewood,,N/A,Closed,11/05/2018 10:26:05 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,05 QUEENS,4038090110,QUEENS,1021717,197701,ONLINE,Unspecified,QUEENS,,,,,,,,40.7092410026952,-73.86485827649466,"(40.7092410026952, -73.86485827649466)"
40484391,10/07/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10032,613 WEST 158 STREET,WEST 158 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,11/06/2018 03:13:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,999206,243665,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.835466807873644,-73.9459520754739,"(40.835466807873644, -73.9459520754739)"
40482620,10/07/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10032,516 WEST WEST  169 STREET,WEST  169 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,11/06/2018 10:52:51 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,12 MANHATTAN,1021250034,MANHATTAN,1001641,245593,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.84075414752999,-73.93714748717194,"(40.84075414752999, -73.93714748717194)"
40485453,10/07/2018 12:00:00 AM,10/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11361,38-17 203 STREET,203 STREET,38 AVENUE,39 AVENUE,,,ADDRESS,Bayside,,N/A,Pending,11/06/2018 07:42:37 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/07/2018 07:49:00 AM,11 QUEENS,4061990004,QUEENS,1044406,217385,PHONE,Unspecified,QUEENS,,,,,,,,40.763143386484096,-73.78284437383275,"(40.763143386484096, -73.78284437383275)"
40488654,10/08/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11238,573 CLASSON AVENUE,CLASSON AVENUE,FULTON STREET,LEFFERTS PLACE,,,ADDRESS,BROOKLYN,,N/A,Closed,11/07/2018 10:41:17 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,03 BROOKLYN,3020160005,BROOKLYN,995772,187444,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68115974608505,-73.95845819803878,"(40.68115974608505, -73.95845819803878)"
40489394,10/08/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10459,870 LONGWOOD AVENUE,LONGWOOD AVENUE,PROSPECT AVENUE,HEWITT PLACE,,,ADDRESS,BRONX,,N/A,Closed,11/07/2018 07:48:14 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,02 BRONX,2026880053,BRONX,1011674,237715,PHONE,Unspecified,BRONX,,,,,,,,40.81910584998964,-73.90091962447758,"(40.81910584998964, -73.90091962447758)"
40490358,10/08/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10451,777 ELTON AVENUE,ELTON AVENUE,EAST 157 STREET,EAST 158 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/07/2018 11:45:04 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,01 BRONX,2023790026,BRONX,1008206,238546,PHONE,Unspecified,BRONX,,,,,,,,40.82139679522595,-73.91344621241103,"(40.82139679522595, -73.91344621241103)"
40491124,10/08/2018 12:00:00 AM,10/11/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,901 ANDERSON AVENUE,ANDERSON AVENUE,JEROME AVENUE,WEST 162 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/07/2018 02:04:06 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/11/2018 12:00:00 AM,04 BRONX,2025040030,BRONX,1004033,241777,PHONE,Unspecified,BRONX,,,,,,,,40.830275299329436,-73.92851385968021,"(40.830275299329436, -73.92851385968021)"
40492885,10/08/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10033,106 PINEHURST AVENUE,PINEHURST AVENUE,WEST 181 STREET,HUDSON VIEW GARDENS,,,ADDRESS,NEW YORK,,N/A,Closed,11/07/2018 06:06:12 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,12 MANHATTAN,1021790185,MANHATTAN,1001125,249611,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.85178337426804,-73.93900224138129,"(40.85178337426804, -73.93900224138129)"
40492956,10/08/2018 12:00:00 AM,10/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457,1786 TOPPING AVENUE,TOPPING AVENUE,CROSS BRONX EXPRESSWAY,EAST 175 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/07/2018 02:59:30 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,05 BRONX,2027990025,BRONX,1010363,247590,PHONE,Unspecified,BRONX,,,,,,,,40.846213840473624,-73.90561770152925,"(40.846213840473624, -73.90561770152925)"
40495780,10/09/2018 12:00:00 AM,09/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10034,,,,,WEST 212 STREET,BROADWAY,INTERSECTION,NEW YORK,,N/A,Pending,11/08/2018 11:22:26 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:00:00 AM,12 MANHATTAN,,MANHATTAN,1006775,255700,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.86848323435348,-73.91855883540413,"(40.86848323435348, -73.91855883540413)"
40494882,10/09/2018 12:00:00 AM,10/03/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11361,38-17 203 STREET,203 STREET,38 AVENUE,39 AVENUE,,,ADDRESS,Bayside,,N/A,Pending,11/08/2018 04:15:18 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 04:26:13 PM,11 QUEENS,4061990004,QUEENS,1044406,217385,PHONE,Unspecified,QUEENS,,,,,,,,40.763143386484096,-73.78284437383275,"(40.763143386484096, -73.78284437383275)"
40495790,10/10/2018 12:00:00 AM,10/02/2018 11:10:41 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11226,280 EAST 21 STREET,EAST 21 STREET,,,,,LATLONG,BROOKLYN,,N/A,Pending,11/09/2018 01:46:56 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/10/2018 01:49:54 AM,Unspecified BROOKLYN,,BROOKLYN,995431,175249,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.64768761568714,-73.95970787469467,"(40.64768761568714, -73.95970787469467)"
40496718,10/09/2018 12:00:00 AM,10/11/2018 04:58:10 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10459,1168 UNION AVENUE,UNION AVENUE,HOME STREET,EAST 168 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/08/2018 07:04:17 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/11/2018 04:58:10 PM,03 BRONX,2026810005,BRONX,1012023,240967,PHONE,Unspecified,BRONX,,,,,,,,40.82803057164416,-73.8996452605543,"(40.82803057164416, -73.8996452605543)"
40498627,10/09/2018 12:00:00 AM,10/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10065,830 5 AVENUE,5 AVENUE,EAST 64 STREET,EAST 65 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,11/08/2018 05:26:46 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/10/2018 12:00:00 AM,64 MANHATTAN,1011110001,MANHATTAN,992417,218976,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76771115696222,-73.97051616042855,"(40.76771115696222, -73.97051616042855)"
40498656,10/09/2018 12:00:00 AM,09/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11233,CHAUNCEY STREET,CHAUNCEY STREET,RALPH AVENUE,HOWARD AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Pending,11/08/2018 08:53:05 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 08:59:55 AM,Unspecified BROOKLYN,,BROOKLYN,1006140,187525,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681362504841,-73.92107681837075,"(40.681362504841, -73.92107681837075)"
40499535,10/09/2018 12:00:00 AM,10/10/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10014,6 AVENUE,6 AVENUE,,,,,LATLONG,NEW YORK,,N/A,Closed,11/08/2018 06:23:39 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/10/2018 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,983639,205108,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.729650741035826,-74.00220452265162,"(40.729650741035826, -74.00220452265162)"
40499534,10/10/2018 12:00:00 AM,10/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,1020 GERARD AVENUE,GERARD AVENUE,EAST 164 STREET,EAST 165 STREET,,,ADDRESS,BRONX,,N/A,Closed,11/09/2018 01:42:31 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/12/2018 12:00:00 AM,04 BRONX,2024770011,BRONX,1005620,242104,PHONE,Unspecified,BRONX,,,,,,,,40.83116912288787,-73.92277817473338,"(40.83116912288787, -73.92277817473338)"
40501344,10/09/2018 12:00:00 AM,10/04/2018 01:45:58 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10463,231 WEST  230 STREET,WEST  230 STREET,GODWIN TERRACE,KINGSBRIDGE AVENUE,,,ADDRESS,BRONX,,N/A,Pending,11/08/2018 05:30:27 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 05:36:00 AM,08 BRONX,2057030160,BRONX,1009883,259020,PHONE,Unspecified,BRONX,,,,,,,,40.87758713153509,-73.90730888779717,"(40.87758713153509, -73.90730888779717)"
40501387,10/09/2018 12:00:00 AM,10/04/2018 09:30:08 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11213,1288 ST JOHN'S PLACE,ST JOHN'S PLACE,TROY AVENUE,SCHENECTADY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,11/08/2018 12:05:59 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,10/09/2018 12:18:38 PM,Unspecified BROOKLYN,3013830015,BROOKLYN,1002149,183682,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67082330922715,-73.93547634791223,"(40.67082330922715, -73.93547634791223)"
40237569,09/10/2018 11:47:07 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,3230 CRUGER AVE,CRUGER AVE,,,,,LATLONG,BRONX,,N/A,Pending,10/10/2018 11:47:07 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/10/2018 11:50:27 PM,12 BRONX,,BRONX,1021329,257218,MOBILE,Unspecified,BRONX,,,,,,,,40.8726005379944,-73.86592920439722,"(40.8726005379944, -73.86592920439722)"
40237570,09/11/2018 12:23:37 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11237,1046 FLUSHING AVENUE,FLUSHING AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Pending,10/11/2018 12:23:37 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/11/2018 12:25:49 AM,04 BROOKLYN,,BROOKLYN,1003869,195887,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70431957894581,-73.92924042559022,"(40.70431957894581, -73.92924042559022)"
40237575,09/10/2018 11:45:34 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10467,3230 CRUGER AVE,CRUGER AVE,,,,,LATLONG,BRONX,,N/A,Pending,10/10/2018 11:45:34 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,09/10/2018 11:48:26 PM,12 BRONX,,BRONX,1021350,257226,MOBILE,Unspecified,BRONX,,,,,,,,40.87262240727073,-73.8658532281077,"(40.87262240727073, -73.8658532281077)"
